property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,vatika independent floors,sector 82,0.67,5826.0,2,2,3,2.0,Moderately Old,1271.0,1150.02,1035.0,0,0,0,0,0,0,53
flat,shapoorji pallonji joyville gurugram,sector 102,1.2,14563.0,2,2,3,0.0,Relatively New,1359.05,1073.0,823.98,0,0,0,0,0,0,49
house,vipul tatvam villa,sector 48,7.69,24069.0,4,5,3,2.0,Moderately Old,3531.0,3195.05,2876.0,1,1,1,1,0,1,110
house,independent,sector 56,2.95,20233.0,2,2,0,1.0,Moderately Old,1611.0,1457.97,1312.0,0,0,0,0,0,0,0
flat,corona optus,sector 37c,1.25,7090.0,3,3,3,4.0,Relatively New,1763.02,1350.01,1233.97,0,0,0,0,1,0,49
flat,sare crescent parc,sector 92,0.8,6033.0,3,2,2,3.0,Relatively New,1653.26,1473.0,1326.0,0,0,0,0,0,0,15
flat,m3m the marina,sector 68,2.22,14322.0,3,2,3,4.0,Relatively New,1550.0,1403.0,1263.0,0,0,0,0,0,0,44
house,independent,sector 37d,1.16,7539.0,1,1,0,1.0,Relatively New,1696.0,1535.04,1382.0,0,0,0,0,0,0,0
house,vipul tatvam villa,sector 48,8.5,26235.0,4,4,1,2.0,Relatively New,3580.0,3240.04,2916.0,0,0,0,0,0,0,21
flat,sare green parc phase 3,sector 92,0.75,7142.0,3,2,2,3.0,New Property,1326.0,1298.02,1050.02,0,0,0,0,0,0,121
flat,ats triumph,sector 104,1.83,7991.0,3,4,3+,10.0,Relatively New,2290.02,2000.04,1749.99,0,1,0,0,0,0,165
flat,friends apartment,sector 52,2.0,8510.0,4,3,3,5.0,Moderately Old,2349.97,2091.0,1849.99,0,1,0,0,0,2,111
flat,vatika gurgaon,sector 83,1.19,7437.0,3,3,2,10.0,Relatively New,1995.19,1778.0,1599.95,0,1,0,0,0,1,35
flat,mvn athens,sohna road,0.21,4666.0,1,1,1,11.0,New Property,561.15,500.0,450.04,0,0,0,0,0,0,16
flat,piedmont taksila heights,sector 37c,1.05,4792.0,3,3,3,7.0,Relatively New,1919.96,1738.0,1564.0,0,0,0,0,0,1,81
flat,godrej,sector 79,1.34,8524.0,3,3,3,7.0,Relatively New,1571.96,1423.0,1281.0,0,0,0,0,0,0,158
flat,m3m heights,sector 65,2.0,13957.0,2,2,2,32.0,Relatively New,1424.76,1433.0,999.97,0,0,0,0,0,0,48
house,independent,sector 11,2.1,17284.0,6,6,3+,3.0,Relatively New,1343.0,1215.03,1094.0,0,0,0,0,0,0,14
flat,prime habitat,sector 99a,0.32,4657.0,2,2,1,7.0,Relatively New,686.95,600.95,447.99,0,0,0,0,0,0,44
house,independent,sector 57,3.6,20833.0,4,4,2,2.0,Old Property,1909.0,1728.04,1555.0,1,1,1,1,0,0,110
flat,sare homes,sector 92,0.5,4237.0,3,3,2,1.0,Relatively New,1180.05,1068.0,961.0,0,0,0,0,0,0,26
flat,hsiidc sidco shivalik apartments,manesar,0.73,3560.0,3,3,3+,2.0,Moderately Old,2049.98,1705.0,1399.95,0,1,0,0,0,0,80
flat,signature signum 95a,sector 95,0.4,7782.0,2,2,2,3.0,New Property,640.85,571.0,513.98,0,0,0,0,0,0,44
flat,palam vihar society,sector 2,3.35,7444.0,4,4,3+,2.0,New Property,5611.2,5000.0,4499.96,1,0,0,0,0,0,66
flat,trisara our homes 3,sohna road,0.4,6561.0,2,2,1,0.0,New Property,750.73,669.0,602.02,0,0,0,0,0,1,90
flat,sidhartha ncr one,sector 95,0.57,4179.0,2,2,2,10.0,New Property,1533.55,1364.0,1232.04,0,0,0,0,0,0,0
flat,m3m merlin,sector 67,3.4,14418.0,3,4,3,17.0,Relatively New,2358.05,2134.0,1921.0,0,1,0,0,0,1,174
flat,paras dews,sector 106,0.95,6859.0,2,2,3+,2.0,Relatively New,1384.99,940.01,844.97,0,0,0,0,0,0,49
flat,shapoorji pallonji joyville gurugram,sector 102,1.4,11666.0,2,2,3,0.0,Relatively New,1367.98,1286.0,1199.96,0,0,0,0,0,0,80
flat,central park flower valley cerise floors,sector 33,1.3,10743.0,2,2,2,3.0,New Property,1209.97,1095.0,986.0,1,0,0,0,0,0,22
flat,essel tower,sector 28,2.2,12500.0,3,4,3+,3.0,Moderately Old,2194.86,1956.0,1760.01,0,1,0,0,0,2,0
flat,hcbs sports ville,sohna road,0.32,5517.0,2,2,1,7.0,New Property,722.95,644.0,579.96,0,0,0,0,0,0,37
flat,dlf the ultima,sector 81,2.25,10553.0,3,3,3+,15.0,Relatively New,2132.01,1929.0,1736.0,0,1,0,0,0,2,165
house,independent,sector 25,10.5,29022.0,5,5,3,3.0,Moderately Old,3998.0,3617.96,3256.0,1,1,0,1,0,0,42
flat,tulip violet,sector 69,1.4,8928.0,3,3,1,12.0,Relatively New,1567.98,1419.0,1277.0,0,0,0,0,0,0,157
flat,orris aster court,sector 85,0.9,5671.0,3,3,3,8.0,Relatively New,1587.03,1436.0,1292.0,0,0,0,0,0,0,49
flat,shree vardhman flora,sector 90,1.0,5128.0,3,4,3,8.0,New Property,1949.99,1765.0,1588.0,0,1,0,0,0,0,95
flat,dlf the arbour,sector 63,7.52,19000.0,4,4,3,15.0,New Property,3578.39,3955.95,2200.03,0,0,0,0,0,0,61
house,independent,sector 14,6.46,18889.0,5,5,2,3.0,Moderately Old,3598.8,3420.01,2700.02,1,1,0,1,0,1,27
house,independent,sector 11,0.95,7308.0,5,3,0,1.0,Moderately Old,1436.0,1299.96,1170.0,0,0,0,0,0,0,0
flat,dlf new town heights,sector 90,1.88,6894.0,4,4,3+,20.0,Relatively New,2727.03,2725.96,2724.99,0,1,0,1,0,0,145
flat,godrej summit,sector 104,1.3,7893.0,3,3,3,8.0,New Property,1646.98,1490.0,1341.0,0,0,0,0,1,0,103
flat,signature global park 4,sector 36,0.72,6428.0,3,2,3,2.0,Under Construction,1396.31,1244.0,1119.98,0,0,0,0,0,0,0
flat,emaar mgf the palm drive,sector 66,2.8,14358.0,3,3,2,12.0,New Property,1949.99,1919.96,1599.95,1,1,0,1,0,2,69
flat,ireo skyon,sector 60,3.7,13214.0,4,5,3,10.0,Relatively New,2800.01,2534.0,2281.0,0,1,0,0,0,1,165
flat,breez global heights,sohna road,0.28,7142.0,1,1,1,4.0,New Property,497.36,443.0,399.02,0,0,0,0,0,2,26
flat,m3m woodshire,sector 107,1.3,10815.0,3,3,3,7.0,Relatively New,1942.99,1547.0,1202.0,0,0,0,1,0,0,89
flat,shapoorji pallonji joyville gurugram,sector 102,0.96,10491.0,2,2,2,10.0,Relatively New,915.04,828.0,745.0,0,0,0,0,0,0,132
flat,signature global synera,sector 81,0.5,6802.0,2,2,3,6.0,Relatively New,734.96,699.98,634.96,0,0,0,0,0,0,117
flat,m3m heights,sector 65,2.1,16653.0,2,2,3,8.0,New Property,1260.99,1015.0,799.97,0,0,0,0,0,0,31
flat,experion the heartsong,sector 108,0.9,7014.0,2,3,3,2.0,Relatively New,1282.95,978.22,734.42,0,1,0,0,0,0,94
house,emaar mgf marbella,sector 66,12.0,38095.0,5,6,3+,4.0,New Property,3481.0,3149.95,2835.0,0,1,0,1,0,0,38
flat,sare homes,sector 92,0.65,4587.0,3,3,2,3.0,Relatively New,1766.64,1574.0,1416.96,0,0,0,0,0,0,6
flat,signature global park,sohna road,0.68,8252.0,2,2,2,3.0,New Property,1027.71,916.0,823.98,0,0,0,0,0,0,113
flat,experion windchants,sector 112,3.1,20666.0,2,2,3,9.0,Relatively New,1870.56,1667.0,1499.95,1,1,1,0,0,1,80
house,independent,sector 9,0.35,9722.0,2,2,1,2.0,Old Property,398.0,360.05,324.0,0,0,0,0,0,0,0
flat,eldeco accolade,sohna road,0.96,6571.0,2,2,3+,14.0,Relatively New,1457.0,1131.0,848.95,1,0,0,0,0,0,151
flat,shree vardhman victoria,sector 70,1.1,8461.0,2,2,2,8.0,Relatively New,1620.75,1444.0,1299.96,0,0,0,0,0,0,101
flat,alpha corp gurgaonone,sector 84,2.24,6523.0,4,4,3,12.0,Relatively New,3434.01,3165.0,2900.01,0,1,0,0,0,0,20
flat,chintamani,sector 103,1.57,8509.0,3,3,3,1.0,Relatively New,1874.01,1845.04,1350.01,0,0,0,0,0,0,0
house,independent,sector 43,5.5,28424.0,1,1,0,1.0,Old Property,2138.0,1935.03,1742.0,0,0,0,0,1,0,12
house,bptp astaire gardens,sector 70a,6.5,27871.0,4,4,3+,2.0,New Property,2974.0,2690.97,2422.0,1,1,0,1,0,1,160
flat,lotus homz,sector 111,0.7,10057.0,2,2,2,8.0,Relatively New,867.68,773.0,695.99,0,0,0,0,0,0,68
flat,senate court,sector 62,0.9,14084.0,1,1,0,0.0,Relatively New,706.0,639.05,575.0,0,0,0,0,0,0,0
house,independent,sector 45,8.5,26235.0,5,4,2,1.0,Moderately Old,3580.0,3240.04,2916.0,0,1,0,1,0,1,49
flat,puri emerald bay,sector 104,1.8,8823.0,2,3,3,23.0,New Property,1700.05,1539.0,1385.0,0,1,0,0,0,0,36
house,bhim garh kheri,sector 3,1.5,7576.0,7,2,0,1.0,Old Property,2188.0,1980.02,1782.0,0,0,0,0,0,0,0
flat,dlf park place,sector 54,4.85,25866.0,3,4,3+,25.0,Relatively New,1874.96,1697.0,1527.0,0,1,0,0,0,1,26
house,independent,sector 7,0.66,12000.0,3,1,1,3.0,Relatively New,608.0,550.04,495.0,0,0,0,0,1,0,22
flat,chd avenue,sector 71,1.25,7171.0,3,4,2,7.0,Relatively New,1743.0,1577.0,1419.0,0,1,0,0,0,1,160
house,independent,sector 12,0.9,13333.0,4,4,0,2.0,Old Property,746.0,675.0,608.0,0,0,0,0,0,0,0
flat,my home,sector 110,0.22,4400.0,2,2,1,1.0,New Property,623.7,556.0,499.98,0,0,0,0,0,1,0
flat,tulip violet,sector 69,1.7,8432.0,4,4,2,10.0,New Property,2010.05,1819.0,1637.0,0,0,0,0,0,0,125
flat,bestech park view sanskruti,sector 92,1.6,8020.0,3,4,3+,10.0,Relatively New,1994.98,1615.02,1475.95,0,1,0,0,1,1,174
flat,vatika the seven lamps,sector 82,1.28,6819.0,3,3,3,3.0,Relatively New,1877.01,1800.05,1499.95,1,0,0,0,0,1,165
flat,adani brahma samsara vilasa,sector 63,3.25,29545.0,3,3,3,4.0,New Property,2188.09,2700.02,1099.96,0,0,0,0,1,0,41
flat,tulip monsella,sector 53,7.4,33198.0,4,4,3,21.0,Under Construction,2779.6,2477.0,2228.99,0,0,0,0,0,0,35
flat,mapsko casa bella,sector 82,1.25,6377.0,3,4,3+,8.0,Under Construction,1960.0,1774.0,1597.0,0,0,0,0,0,0,54
flat,adani m2k oyster grande,sector 102,1.9,9105.0,3,4,3,8.0,Relatively New,1888.96,1709.0,1538.0,0,1,0,0,0,0,165
flat,green homes,sector 52,1.85,7872.0,3,3,3,7.0,Moderately Old,2349.97,2127.0,1914.0,0,1,0,0,0,0,28
flat,antriksh heights,sector 84,1.05,5011.0,4,4,3+,3.0,New Property,2094.98,1896.0,1706.0,1,0,0,0,0,0,66
flat,gls arawali homes,sohna road,0.28,4307.0,2,2,2,12.0,New Property,650.03,588.0,529.0,0,0,0,0,0,0,0
flat,smart world orchard,sector 61,2.41,14785.0,3,3,3,2.0,New Property,1929.29,1629.98,1625.03,0,0,0,0,0,0,61
flat,dlf regal gardens,sector 90,1.17,6708.0,3,3,3,15.0,Relatively New,1743.97,1629.98,1289.95,0,0,0,0,0,1,136
flat,lotus homz,sector 111,0.5,14838.0,1,1,1,2.0,Relatively New,419.92,374.0,336.91,0,0,0,0,0,2,72
flat,pioneer araya,sector 62,9.14,19488.0,4,6,3,16.0,Relatively New,4690.05,3932.0,3258.02,1,1,1,0,0,1,146
house,independent,sector 9a,4.5,14286.0,9,9,3+,3.0,Relatively New,4212.0,3811.5,3430.0,1,0,0,1,1,1,38
flat,suncity avenue,sector 102,0.48,9022.0,2,2,1,5.0,Relatively New,631.95,581.0,531.95,0,0,1,0,0,0,159
flat,emaar mgf emerald floors premier,sector 65,2.29,13878.0,3,4,3+,2.0,Relatively New,2057.26,1833.0,1650.0,1,1,0,0,0,2,174
flat,vasant appartments,sector 14,1.7,7391.0,5,5,2,2.0,Old Property,2868.22,2556.0,2300.03,1,0,1,1,0,2,71
flat,bptp astaire gardens,sector 70a,1.7,8947.0,4,3,3,1.0,Relatively New,2369.15,2111.0,1900.04,0,0,0,0,0,1,49
flat,emaar mgf emerald floors premier,sector 65,2.24,13575.0,3,3,3,2.0,Relatively New,2057.26,1833.0,1650.0,1,1,0,0,0,0,46
house,independent,sector 43,3.35,26973.0,1,1,0,1.0,Old Property,1372.0,1242.05,1118.0,0,0,0,0,0,0,9
flat,dlf regency park,sector 28,1.35,11992.0,2,2,2,1.0,Moderately Old,1225.0,1109.0,998.0,0,0,0,0,0,0,0
flat,ambience creacions,sector 22,4.3,13915.0,3,4,3+,6.0,Relatively New,3089.99,2600.02,2100.04,0,1,0,0,1,2,120
flat,shree vardhman victoria,sector 70,1.65,8461.0,3,4,3,5.0,Relatively New,1949.99,1527.0,1160.99,0,1,0,0,1,1,49
flat,the serenas,sector 36,0.42,7910.0,2,2,1,3.0,New Property,662.11,590.0,530.98,0,0,0,0,0,0,0
flat,orris carnation residency,sector 85,0.9,6428.0,3,3,2,12.0,Relatively New,1484.99,1402.0,1399.95,0,0,0,0,0,0,120
flat,m3m sky lofts,sector 71,1.0,11500.0,1,1,1,9.0,Moderately Old,755.46,868.97,434.97,0,0,0,0,0,0,77
flat,conscient elevate,sector 59,4.02,17500.0,3,3,1,3.0,Under Construction,2861.71,2550.0,2294.97,0,0,0,0,0,0,31
flat,smart world one,dwarka expressway,1.65,5933.0,3,4,3,6.0,Under Construction,3472.44,3094.0,2784.94,0,0,0,0,0,0,0
flat,apna enclave,sector 3,0.55,5789.0,2,2,2,2.0,Old Property,950.02,899.97,744.0,0,0,0,0,0,0,66
flat,la vida by tata housing,sector 113,2.78,11346.0,3,3,3,3.0,New Property,2690.01,2599.05,2449.97,1,1,0,0,0,0,174
flat,sare crescent parc royal greens phase 1,sector 92,1.25,5832.0,4,4,3,20.0,Relatively New,2142.98,1939.0,1745.0,0,1,0,0,0,0,60
house,dlf city plots,sector 26,17.0,37627.0,5,6,3,2.0,Old Property,4992.0,4518.04,4066.0,0,1,1,1,0,1,87
flat,central park flower valley,sector 33,1.35,10384.0,3,2,2,3.0,New Property,1620.75,1444.0,1299.96,0,0,0,0,0,0,87
flat,pioneer park,sector 61,2.1,11666.0,3,3,3,15.0,Relatively New,1800.05,1592.0,1399.95,0,0,0,0,0,1,49
flat,godrej oasis,sector 88a,1.3,7258.0,3,3,3+,4.0,Relatively New,2233.27,1990.0,1791.01,0,0,0,0,0,0,79
flat,signature global city 81,sector 81,0.89,8279.0,2,2,2,3.0,Under Construction,1340.21,1194.0,1074.99,0,0,0,0,1,0,20
flat,imperia the esfera,sector 37c,0.7,4879.0,2,3,3+,12.0,Under Construction,1435.04,1299.0,1169.0,1,0,0,0,1,0,58
flat,breez global hill view,sohna road,0.32,5776.0,2,2,2,19.0,Relatively New,691.06,616.0,554.02,0,0,0,0,0,1,21
flat,tulip violet,sector 69,1.55,9822.0,3,3,2,5.0,Relatively New,1577.99,1428.0,1285.0,0,0,0,1,0,0,99
flat,shree vardhman victoria,sector 70,1.64,8410.0,3,5,3,8.0,Relatively New,1949.99,1527.0,1160.99,0,1,0,0,0,0,126
flat,central park flower valley,sohna road,1.2,6742.0,3,3,0,11.0,Relatively New,1967.0,1780.03,1602.0,0,0,0,0,0,0,66
flat,experion the heartsong,sector 108,2.29,8240.0,4,5,3+,8.0,Relatively New,3071.0,2779.02,2501.0,0,1,0,0,0,0,95
flat,sare crescent parc,sector 92,0.9,4278.0,4,5,3+,14.0,Relatively New,1870.01,1692.0,1523.0,0,1,0,0,1,0,62
flat,smriti apartment,sector 56,0.6,10000.0,1,1,1,2.0,Moderately Old,599.98,543.0,489.0,0,0,0,0,0,0,49
flat,sare crescent parc,sector 92,0.65,4596.0,3,3,3,3.0,Moderately Old,1763.08,1571.0,1413.95,0,0,0,0,0,0,44
flat,smart world gems,sector 89,0.9,8145.0,2,2,2,1.0,New Property,1221.0,1105.02,995.0,0,0,0,0,0,0,45
flat,signature the roselia,sector 95,0.48,7164.0,2,2,2,6.0,Relatively New,835.24,744.0,670.05,0,0,0,0,0,0,16
flat,conscient elevate,sector 59,3.9,16993.0,3,1,0,0.0,Under Construction,2536.0,2294.97,2065.0,0,0,0,0,0,0,0
flat,puri emerald bay,sector 104,2.65,15007.0,3,4,3,15.0,Relatively New,2449.97,2090.0,1765.71,0,1,0,0,0,1,174
house,sushant lok 1 builder floors,sector 43,13.0,48148.0,3,3,3+,4.0,New Property,2984.0,2700.02,2430.0,0,0,0,1,0,1,7
flat,paras dews,sector 106,0.88,6353.0,2,2,3+,3.0,Relatively New,1384.99,1119.98,1040.01,0,0,0,0,0,0,49
flat,alpha corp gurgaonone,sector 84,1.2,9448.0,2,2,1,6.0,Relatively New,1270.03,1149.0,1034.0,0,0,0,0,0,0,13
flat,chd avenue,sector 71,1.32,6019.0,4,4,3,14.0,Moderately Old,2193.04,1985.0,1786.0,0,1,0,0,0,0,65
flat,conscient elevate,sector 59,3.78,16500.0,3,3,3,3.0,Under Construction,2861.71,2550.0,2294.97,0,0,0,0,0,0,31
flat,shapoorji pallonji joyville gurugram,sector 102,1.3,17691.0,2,2,3,0.0,Relatively New,1215.03,1009.01,734.85,0,0,1,0,0,0,125
flat,m3m the marina,sector 68,1.02,8095.0,2,2,2,11.0,Relatively New,1260.02,1250.01,799.97,0,0,0,0,1,1,49
flat,signature global park,sohna road,0.65,5637.0,2,2,2,2.0,Relatively New,1153.03,1043.0,939.0,0,0,0,1,0,0,118
flat,proxima tower,sector 37c,0.6,4602.0,2,2,3,5.0,Under Construction,1304.05,1180.0,1062.0,1,0,0,1,0,0,55
house,independent,sector 5,3.5,15555.0,6,5,2,3.0,Old Property,2486.0,2249.98,2025.0,1,1,0,1,1,2,155
flat,today callidora,sector 73,1.0,7692.0,2,2,2,13.0,New Property,1620.75,1444.0,1299.96,0,0,0,0,0,0,0
flat,godrej,sector 79,1.3,8269.0,2,2,3,3.0,New Property,1571.96,1423.0,1281.0,1,0,0,0,0,0,49
flat,tulip monsella,sector 53,5.6,19363.0,3,3,3+,1.0,Under Construction,2892.04,2617.0,2355.0,0,0,0,0,0,0,42
house,emaar mgf marbella,sector 66,18.0,40000.0,5,6,3+,3.0,Relatively New,4972.0,4499.96,4050.0,1,1,1,1,0,2,153
house,international city by sobha phase 2,sector 109,5.65,10463.0,4,4,3+,2.0,New Property,5967.0,5400.03,4860.0,0,1,0,0,1,1,44
flat,orris carnation residency,sector 85,0.8,4857.0,3,4,3,4.0,Relatively New,1645.05,1390.05,1274.98,0,1,0,0,0,1,40
house,independent,sector 9,0.5,6083.0,3,2,1,1.0,Moderately Old,928.98,822.04,750.03,0,0,0,0,0,0,0
flat,shapoorji pallonji joyville gurugram,sector 102,2.12,16960.0,3,3,3,9.0,Relatively New,1814.57,1852.04,1250.01,0,0,0,0,0,0,72
flat,signature global park,sohna road,0.85,7863.0,3,2,2,4.0,New Property,1081.02,1080.05,670.05,0,0,0,0,0,0,23
flat,tulip leaf,sector 69,2.07,11423.0,3,3,3,16.0,Relatively New,1811.99,1640.0,1476.0,0,0,0,0,0,0,49
flat,breez global hill view,sohna road,2.6,46917.0,2,2,2,6.0,New Property,691.13,616.0,554.13,0,0,0,0,0,0,42
house,independent,sector 25,4.31,31926.0,5,4,3,3.0,Old Property,1492.0,1350.01,1215.0,0,0,0,0,0,0,40
flat,tulip ivory,sector 70,2.0,8333.0,4,5,3+,7.0,Moderately Old,2400.03,2169.0,1949.99,0,1,0,0,0,1,174
flat,central park flower valley,sector 33,2.15,13522.0,3,3,3+,1.0,New Property,1590.04,1439.0,1295.0,0,0,0,0,0,0,31
flat,sobha city,sector 108,2.33,14463.0,3,3,3,17.0,Relatively New,1965.21,1711.03,1611.03,0,0,1,0,0,1,159
flat,adani m2k oyster grande,sector 102,2.6,10007.0,3,3,3,2.0,Relatively New,2597.97,2351.0,2116.0,1,1,1,0,0,0,118
flat,shapoorji pallonji joyville gurugram,sector 102,0.95,10383.0,2,2,2,14.0,Relatively New,932.87,915.04,675.0,0,0,0,0,0,0,0
flat,bestech park view grand spa,sector 81,4.5,10714.0,4,6,3+,17.0,Relatively New,4199.97,3801.0,3421.0,0,1,0,0,0,1,44
flat,ansal heights 86,sector 86,1.25,7396.0,3,2,1,11.0,New Property,1690.04,1529.0,1376.0,0,0,0,0,0,0,45
flat,emaar mgf the enclave,sector 66,2.1,12352.0,3,4,2,12.0,Relatively New,1919.96,1800.05,1700.05,0,1,0,0,0,1,156
flat,dlf new town heights,sector 90,2.0,7334.0,4,4,3+,20.0,Moderately Old,2727.03,2468.0,2221.0,0,1,0,0,1,0,49
flat,emaar palm gardens,sector 83,1.75,9210.0,3,3,3,6.0,Relatively New,1900.04,1549.0,1240.0,0,1,0,0,0,1,105
flat,shapoorji pallonji joyville,sector 102,1.1,12022.0,2,2,1,7.0,Relatively New,948.68,915.04,699.98,0,0,0,0,0,0,0
flat,emaar mgf the enclave,sector 66,1.9,10555.0,3,4,2,8.0,Relatively New,1919.96,1849.99,1800.05,0,1,0,0,0,1,174
flat,sbr minda sec-1 imt manesar,manesar,0.64,4193.0,3,2,3+,6.0,Old Property,1903.07,1696.0,1526.0,0,0,0,0,0,0,51
flat,antriksh heights,sector 84,0.94,7000.0,3,2,3+,10.0,New Property,1350.01,1222.0,1100.0,1,0,0,0,0,1,89
flat,tarc maceo,sector 91,1.5,6465.0,3,4,3+,3.0,Relatively New,2320.05,1786.0,1325.04,1,1,0,0,0,0,112
flat,aditya apartment,manesar,1.0,4033.0,3,4,0,3.0,New Property,2740.0,2480.0,2232.0,0,0,0,0,0,0,0
flat,smart world orchard,sector 61,2.1,13750.0,3,2,3,3.0,Under Construction,1549.03,1534.0,1499.95,0,0,0,0,0,0,146
flat,ramsons kshitij,sector 95,0.33,3911.0,2,2,1,14.0,New Property,767.04,694.0,625.0,0,0,0,0,1,1,79
house,independent,sector 14,4.6,20444.0,1,1,0,1.0,Old Property,2486.0,2249.98,2025.0,0,0,0,0,0,0,0
flat,indiabulls centrum park,sector 103,2.2,7652.0,4,6,3+,4.0,Relatively New,2875.04,2602.0,2342.0,0,1,0,0,0,1,108
flat,mvn athens,sohna road,0.25,5189.0,2,2,1,3.0,Relatively New,600.52,535.0,481.68,0,0,0,0,0,0,51
flat,the close north,sector 50,2.7,10364.0,3,3,3+,6.0,Moderately Old,2604.97,2400.03,2200.03,0,1,0,0,0,0,174
flat,adani m2k oyster grande,sector 102,2.61,10046.0,3,3,3,14.0,Relatively New,2597.97,2200.03,2000.04,1,1,0,0,0,0,21
flat,m3m woodshire,sector 107,0.94,6881.0,2,2,3+,1.0,Moderately Old,1366.05,1236.0,1112.0,0,0,0,0,0,0,113
flat,tarc maceo,sector 91,1.9,6975.0,4,4,3,9.0,Relatively New,2724.02,2465.0,2218.0,0,1,0,0,0,0,120
